hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
1,2,0,0,4,9,2,2,0,4,1,39,45808,12
0,0,0,0,4,11,0,5,4,4,0,39,1800,8
0,0,0,0,4,15,1,4,1,4,1,39,11615,12
1,1,0,0,4,9,2,4,1,4,0,39,30618,1
0,0,0,0,4,9,2,2,0,4,1,39,25220,4
0,2,0,0,4,3,0,0,1,4,0,39,3500,8
0,1,0,0,4,11,0,0,1,4,1,39,10000,14
0,2,0,0,4,2,0,6,1,4,0,39,7478,12
0,1,0,0,4,11,0,0,1,4,0,39,15610,4
1,0,0,0,4,11,0,4,1,4,1,39,19228,13
1,2,0,0,2,9,2,0,4,4,0,39,28465,10
1,2,0,0,4,9,2,2,0,4,1,39,90431,4
0,0,0,0,4,15,1,4,3,4,1,39,5529,10
1,1,0,0,4,9,2,2,0,4,1,39,99999,14
0,1,0,0,4,15,1,0,4,4,0,39,32100,1
0,2,0,0,5,9,2,2,0,4,1,39,37000,4
0,1,0,0,6,15,1,2,5,4,0,39,51700,8
1,2,0,0,4,9,2,2,0,4,1,39,33000,12
0,1,0,0,4,8,2,0,1,4,0,39,21020,13
1,1,0,0,4,11,0,0,1,4,1,39,46020,10
1,2,0,0,4,15,1,2,0,4,1,39,99999,4
1,1,0,0,4,14,2,0,4,4,0,39,49850,10
0,0,0,0,4,15,1,4,1,4,1,39,4807,1
0,0,0,0,4,15,1,4,1,4,0,39,2021,1
0,0,0,0,4,9,2,4,1,4,1,39,42791,10
0,1,0,0,6,11,0,2,0,4,1,39,24000,3
0,0,0,0,0,15,1,4,1,4,0,39,2000,0
0,0,0,0,4,15,1,4,1,4,0,39,5010,1
0,0,0,0,0,15,1,4,1,4,0,39,398,0
1,1,0,0,6,11,0,0,1,4,1,33,48000,5
1,2,0,0,4,8,2,2,0,4,1,39,43399,8
1,1,0,0,5,9,2,2,0,4,1,39,47481,4
1,2,0,0,2,9,2,2,5,4,0,39,45150,10
1,0,0,0,4,7,2,4,3,4,1,39,17863,8
1,1,0,0,6,9,2,2,0,4,1,39,15029,5
0,1,0,0,4,2,0,4,3,4,1,39,8320,5
1,2,0,0,4,5,0,2,0,4,1,2,29621,14
1,0,0,0,4,11,0,4,3,4,1,39,20297,7
1,2,0,0,6,11,0,2,0,4,1,39,88000,12
0,0,0,0,4,0,0,4,3,4,1,39,4500,8
0,0,0,0,4,11,0,2,0,4,1,39,24024,6
0,1,0,0,7,15,1,2,5,4,0,39,81222,4
1,1,0,0,4,11,0,2,0,4,1,39,14964,5
0,2,0,0,0,11,0,6,1,4,0,39,6125,0
0,0,0,0,4,15,1,4,3,4,1,39,7760,7
0,1,0,0,6,11,0,2,0,4,1,39,38878,3
1,0,0,0,4,7,2,4,4,4,1,39,30000,7
0,1,0,0,4,11,0,0,1,4,0,39,10500,7
1,2,0,0,0,11,0,2,0,4,1,39,8780,0
0,2,0,0,1,11,0,2,5,4,0,39,39011,1
0,2,0,0,0,0,0,0,1,4,0,9,7052,0
0,1,0,0,4,8,2,2,0,4,1,39,19560,3
0,1,0,0,0,6,0,0,4,4,0,39,7342,0
1,1,0,0,4,11,0,0,1,4,0,39,16696,4
0,1,0,0,4,11,0,2,0,4,1,39,3800,8
1,1,0,0,4,12,2,2,0,4,1,39,65846,4
0,0,0,0,4,11,0,4,1,4,1,39,22012,8
1,1,0,0,4,8,2,2,5,4,0,39,86262,4
0,2,0,0,4,11,0,2,5,4,0,39,60590,9
1,2,0,0,6,15,1,2,0,4,1,39,35000,10
0,2,0,0,4,15,1,2,0,4,1,39,65361,3
0,0,0,0,4,15,1,4,3,4,0,39,2400,12
0,0,0,0,4,2,0,5,3,4,0,39,4055,10
0,0,0,0,4,11,0,4,3,4,0,39,13000,7
1,0,0,0,6,15,1,4,1,4,0,39,29022,1
0,0,0,0,4,7,2,4,1,4,0,39,40200,13
0,1,0,0,2,12,2,2,5,4,0,39,76071,10
0,2,0,0,4,12,2,2,0,4,1,39,18000,12
1,1,0,0,4,11,0,2,0,4,1,39,50554,3
1,1,0,0,4,11,0,2,0,4,1,39,40788,10
0,0,0,0,4,1,0,4,3,4,0,39,3740,12
0,1,0,0,4,15,1,0,4,4,0,9,35025,3
0,0,0,0,4,15,1,4,1,4,0,39,25003,12
0,0,0,0,4,15,1,4,1,4,1,39,31423,10
0,1,0,0,4,1,0,2,0,4,1,39,27922,3
0,1,0,0,6,11,0,2,0,4,1,39,35236,3
0,0,0,0,4,15,1,4,3,4,0,39,11105,12
1,1,0,0,4,8,2,0,1,4,1,39,2189,3
0,0,0,0,4,9,2,2,0,4,1,39,66000,12
1,0,0,0,4,11,0,4,1,4,1,39,4900,3
1,1,0,0,4,9,2,2,0,4,1,39,31398,4
0,0,0,0,4,15,1,4,1,4,0,39,7236,8
0,1,0,0,4,12,2,2,0,1,1,39,99999,4
0,1,0,0,2,15,1,2,0,4,1,39,40948,11
0,1,0,0,4,15,1,2,0,4,1,39,99999,12
0,1,0,0,6,11,0,0,1,4,1,39,15000,5
1,2,0,0,4,9,2,2,0,4,1,39,29176,12
1,1,0,0,4,11,0,2,0,4,1,39,47862,4
0,0,0,0,4,2,0,4,3,4,1,39,2225,6
1,2,0,0,4,11,0,0,1,4,1,39,28063,7
0,1,0,0,0,5,0,0,1,4,0,39,8000,0
0,0,0,0,4,15,1,2,0,4,1,39,39050,12
1,1,0,0,4,11,0,4,1,4,0,39,14661,8
0,2,0,0,0,0,0,0,4,4,0,39,4780,0
0,0,0,0,4,1,0,0,3,4,0,39,4981,12
0,0,0,0,0,6,0,4,1,4,1,39,6778,0
1,2,0,0,4,9,2,4,1,4,0,39,18524,8
1,2,0,0,7,12,2,5,1,4,1,39,4500,10
0,0,0,0,4,15,1,4,1,4,1,39,4000,8
0,0,0,0,4,15,1,4,1,4,0,11,4576,8
1,1,0,0,2,8,2,2,0,4,1,39,39000,4
0,2,0,0,4,11,0,5,4,4,0,39,21416,1
0,1,0,0,4,11,0,2,0,4,1,39,30925,7
1,0,0,0,4,9,2,4,1,4,0,28,11062,10
1,1,0,0,6,9,2,4,1,4,1,39,30000,10
0,2,0,0,7,5,0,2,0,4,1,39,31980,14
1,2,0,0,4,7,2,2,0,4,1,39,42107,12
0,0,0,0,7,15,1,4,3,4,0,39,2661,1
1,1,0,0,2,15,1,2,0,4,1,39,59324,11
0,2,0,0,1,9,2,2,0,4,1,39,52571,10
0,0,0,0,0,11,0,4,3,4,0,39,2641,0
0,2,0,0,1,11,0,2,0,4,1,39,65800,1
0,0,0,0,0,15,1,4,3,4,1,39,2200,0
0,0,0,0,0,15,1,4,3,4,1,39,1700,0
0,1,0,0,4,1,0,2,0,4,1,39,21323,3
0,1,0,0,7,9,2,2,5,4,0,39,61002,10
1,1,0,0,4,11,0,2,0,4,1,39,25000,1
1,1,0,0,6,11,0,2,0,4,1,39,19030,14
1,0,0,0,4,11,0,2,0,4,1,39,28000,14
1,2,0,0,4,11,0,2,0,4,1,39,39302,3
0,0,0,0,4,15,1,4,3,4,0,39,7283,1
1,0,0,0,4,11,0,4,1,4,1,39,11894,3
0,2,0,0,4,11,0,2,0,4,1,39,39200,14
1,2,0,0,4,9,2,2,0,4,1,39,90600,13
0,0,0,0,4,11,0,2,0,4,1,39,20000,3
1,0,0,0,4,11,0,2,0,4,1,39,46413,3
1,0,0,0,4,11,0,4,1,4,1,39,25000,6
0,0,0,0,4,11,0,4,1,4,0,39,9006,8
0,1,0,0,4,11,0,2,0,4,1,39,19560,14
0,1,0,0,4,11,0,0,4,4,0,2,9351,12
0,1,0,0,4,11,0,4,4,4,1,39,9600,5
1,2,0,0,4,9,2,2,0,4,1,39,85000,12
1,2,0,0,6,15,1,2,0,0,1,39,20530,4
0,1,0,0,4,11,0,2,0,4,1,39,42052,3
0,0,0,0,4,1,0,2,0,4,1,39,8300,3
0,0,0,0,4,1,0,4,1,4,1,39,2760,6
0,0,0,0,4,15,1,0,4,4,0,39,10785,7
1,0,0,0,4,11,0,2,0,4,1,39,21573,3
0,0,0,0,4,11,0,4,4,4,1,39,20000,6
0,0,0,0,0,11,0,4,1,4,0,39,1115,0
0,1,0,0,1,9,2,2,0,4,1,39,45201,11
0,1,0,0,5,2,0,2,0,4,1,39,30780,3
1,1,0,0,5,7,2,2,0,4,1,39,38554,12
1,1,0,0,4,11,0,5,4,4,0,39,23702,1
0,0,0,0,4,11,0,4,3,4,0,39,1164,13
0,1,0,0,0,11,0,5,3,4,0,39,900,0
0,1,0,0,1,11,0,0,4,4,0,39,23025,1
0,2,0,0,4,11,0,0,1,4,0,39,6500,8
0,2,0,0,4,11,0,0,1,4,0,39,23668,10
1,1,0,0,2,9,2,0,4,4,0,39,33031,10
1,2,0,0,5,15,1,2,0,4,1,39,67300,13
1,1,0,0,4,9,2,2,0,4,1,39,86812,10
0,2,0,0,4,11,0,2,5,4,0,39,27922,4
1,0,0,0,4,11,0,2,0,4,1,39,44176,3
0,2,0,0,7,9,2,4,4,4,0,39,30000,4
0,0,0,0,4,7,2,2,5,4,0,39,41800,1
0,1,0,0,4,11,0,2,0,4,1,39,25000,1
0,0,0,0,4,11,0,0,4,4,1,39,17008,6
0,0,0,0,6,15,1,4,1,4,0,39,5615,12
0,2,0,0,2,11,0,6,4,4,0,39,1237,1
0,0,0,0,4,11,0,4,2,4,0,39,1080,8
0,1,0,0,2,12,2,4,1,4,0,39,30201,10
0,0,0,0,4,11,0,2,0,4,1,39,22387,12
0,0,0,0,4,11,0,4,1,4,1,39,13000,7
0,0,0,0,4,11,0,4,1,4,0,39,8000,12
0,1,0,0,4,11,0,2,0,4,1,39,30720,4
0,0,0,0,4,2,0,4,3,4,0,39,1500,8
0,1,0,0,4,9,2,0,4,4,0,28,10197,10
0,1,0,0,4,12,2,2,0,4,1,39,69050,10
1,2,0,0,4,15,1,2,0,4,1,39,55640,13
1,2,0,0,4,9,2,2,0,4,1,39,89432,12
0,1,0,0,6,9,2,2,0,4,1,39,14532,10
1,2,0,0,6,11,0,2,0,4,1,39,12503,12
0,2,0,0,4,15,1,0,4,4,0,39,18192,1
1,2,0,0,2,9,2,2,5,4,0,39,72459,10
0,2,0,0,4,11,0,2,5,4,0,39,22854,10
1,1,0,0,4,15,1,2,0,4,1,39,45000,3
1,1,0,0,5,10,2,2,0,4,1,39,75916,10
1,2,0,0,4,14,2,2,0,4,1,39,34940,10
0,2,0,0,0,11,0,6,1,4,1,39,3289,0
0,1,0,0,4,9,2,2,0,4,1,39,64532,4
0,0,0,0,4,15,1,4,3,4,0,39,7016,12
1,2,0,0,4,8,2,2,0,4,1,39,56835,14
0,0,0,0,4,15,1,2,3,4,0,39,38816,12
1,2,0,0,4,11,0,2,0,4,1,39,74598,7
1,1,0,0,4,1,0,2,0,4,1,39,39540,14
0,1,0,0,1,11,0,2,0,4,1,39,29010,12
0,2,0,0,1,15,1,2,0,4,1,39,75198,4
1,2,0,0,4,11,0,2,0,4,1,39,39200,14
0,0,0,0,4,11,0,4,3,4,1,39,12000,6
1,2,0,0,1,7,2,2,0,4,1,39,31580,4
0,1,0,0,1,15,1,2,0,4,1,39,59000,13
0,2,0,0,4,11,0,6,4,4,0,39,7918,12
0,0,0,0,4,11,0,4,3,4,1,39,12000,12
0,2,0,0,4,9,2,2,0,4,1,39,67400,10
1,1,0,0,2,8,2,2,0,4,1,39,36096,11
0,0,0,0,4,11,0,4,4,4,1,39,12000,1
1,0,0,0,4,11,0,4,1,4,0,39,5902,8
0,1,0,0,4,11,0,2,0,4,1,39,39875,6
0,2,0,0,4,15,1,2,0,4,1,39,48300,13
0,0,0,0,4,15,1,2,0,4,1,39,8000,14
0,0,0,0,4,11,0,2,0,4,1,39,52416,12
1,0,0,0,4,8,2,2,0,4,1,39,38140,4
0,2,0,0,4,11,0,2,0,4,1,39,62473,7
1,0,0,0,4,11,0,2,0,4,1,39,48450,3
1,0,0,0,4,11,0,5,1,4,1,39,35000,12
0,0,0,0,0,11,0,4,1,4,0,39,3300,0
0,2,0,0,4,15,1,0,1,4,0,39,10380,8
1,2,0,0,4,5,0,4,1,4,1,39,11604,6
0,0,0,0,4,11,0,5,1,4,1,39,12489,7
0,0,0,0,4,11,0,2,0,4,1,39,15400,4
1,1,0,0,4,11,0,4,1,4,1,39,9000,14
0,1,0,0,7,14,2,2,5,4,0,39,71250,10
0,2,0,0,7,8,2,0,1,4,1,39,55205,13
0,1,0,0,7,15,1,0,1,4,0,39,27969,4
0,2,0,0,4,9,2,4,1,4,0,39,22837,10
0,2,0,0,4,11,0,2,0,4,1,39,20557,3
0,0,0,0,4,11,0,2,3,4,1,39,17440,12
1,2,0,0,6,15,1,5,1,4,0,39,11765,4
0,0,0,0,4,8,2,2,0,4,1,39,58200,14
0,1,0,0,4,15,1,0,4,4,0,39,14000,7
1,1,0,0,1,11,0,2,0,4,1,39,43924,7
0,2,0,0,4,8,2,2,0,4,1,39,46193,11
0,0,0,0,4,15,1,4,3,4,1,39,6364,12
1,2,0,0,2,10,2,2,0,4,1,39,86302,4
0,0,0,0,4,15,1,4,3,4,1,39,2800,12
1,2,0,0,6,14,2,2,0,4,1,39,67558,10
1,1,0,0,4,11,0,2,0,4,1,39,63100,4
1,0,0,0,4,11,0,2,0,4,1,39,20000,3
0,2,0,0,1,15,1,2,0,4,1,33,58880,1
0,0,0,0,0,15,1,4,3,3,0,39,2579,0
0,1,0,0,4,15,1,2,0,4,1,39,19906,1
1,1,0,0,4,15,1,0,1,4,0,39,18900,1
0,1,0,0,4,11,0,4,4,4,0,9,4400,4
0,0,0,0,4,0,0,2,0,4,1,39,7000,14
0,0,0,0,4,0,0,2,0,4,1,39,11100,6
1,2,0,0,5,10,2,2,0,4,1,39,99999,4
1,2,0,0,6,12,2,2,0,4,1,39,99999,12
1,0,0,0,4,10,2,2,0,1,1,19,30000,10
1,1,0,0,7,12,2,4,1,4,1,39,41539,4
1,1,0,0,6,15,1,0,4,4,1,39,7618,12
0,1,0,0,4,12,2,4,1,4,0,39,17540,12
1,0,0,0,4,11,0,2,0,4,1,11,33479,8
1,0,0,0,6,15,1,4,1,4,1,39,21530,3
0,0,0,0,4,11,0,0,1,4,0,39,16798,8
0,0,0,0,7,11,0,2,0,4,1,39,24000,11
0,0,0,0,4,7,2,2,0,4,1,39,29117,14
0,1,0,0,4,11,0,2,0,4,1,39,15244,12
0,1,0,0,4,11,0,4,3,4,1,39,15600,3
0,1,0,0,6,11,0,4,4,4,0,2,4200,8
0,0,0,0,4,0,0,2,0,4,1,39,34000,14
0,1,0,0,4,11,0,2,0,4,1,39,31412,3
0,1,0,0,6,11,0,2,0,4,1,39,31000,4
1,0,0,0,4,11,0,2,0,4,1,39,21300,12
0,2,0,0,4,11,0,2,0,4,1,39,9747,3
0,1,0,0,4,11,0,2,0,4,1,39,7568,7
0,0,0,0,4,11,0,2,0,4,1,39,48027,3
0,1,0,0,7,11,0,5,4,4,1,39,24010,1
0,2,0,0,4,5,0,5,1,4,0,39,11500,8
1,0,0,0,4,9,2,2,0,4,1,39,54000,4
1,1,0,0,4,11,0,2,0,4,1,39,31117,12
0,2,0,0,4,11,0,2,0,4,1,39,15000,12
0,1,0,0,4,8,2,0,4,4,0,39,11025,8
0,0,0,0,4,11,0,4,1,4,0,39,4931,8
0,1,0,0,4,11,0,2,0,4,1,39,32287,14
0,1,0,0,4,9,2,2,0,4,1,39,34297,4
0,2,0,0,5,0,0,6,4,4,0,2,12696,12
0,2,0,0,5,9,2,4,3,4,1,39,50602,12
1,2,0,0,4,0,0,6,1,4,0,39,6300,9
1,1,0,0,4,11,0,2,0,4,1,39,45514,4
0,2,0,0,6,9,2,2,0,4,1,39,50000,3
0,0,0,0,0,15,1,4,3,4,0,39,2500,0
0,0,0,0,6,11,0,2,0,4,1,39,33000,3
0,2,0,0,4,11,0,2,0,4,1,39,48000,3
0,2,0,0,7,15,1,0,4,4,1,39,22059,3
0,0,0,0,4,11,0,4,3,4,0,39,1451,8
0,0,0,0,4,2,0,4,3,4,1,39,2005,8
0,0,0,0,4,15,1,4,1,4,0,39,9000,8
0,1,0,0,2,15,1,2,5,4,0,39,28557,14
1,1,0,0,4,11,0,0,1,4,1,39,20595,3
1,1,0,0,4,0,0,4,1,4,0,39,17023,7
1,0,0,0,4,11,0,2,0,4,1,39,47500,3
0,1,0,0,6,8,2,0,4,4,0,39,24071,8
0,2,0,0,0,11,0,3,4,4,0,39,2500,0
1,2,0,0,4,11,0,2,0,4,1,39,62028,3
0,0,0,0,4,15,1,4,3,4,0,39,5200,12
0,2,0,0,1,11,0,2,0,4,1,39,47693,6
0,0,0,0,6,11,0,2,0,4,1,39,30214,5
0,0,0,0,4,15,1,4,1,4,1,39,10816,7
0,1,0,0,4,11,0,2,0,4,1,39,19649,3
1,2,0,0,5,9,2,2,0,4,1,39,17525,3
0,0,0,0,4,11,0,4,3,4,0,39,3121,1
0,0,0,0,4,11,0,4,4,4,1,39,21000,3
1,1,0,0,4,15,1,2,0,4,1,39,41841,14
0,2,0,0,4,11,0,4,1,4,1,39,18040,7
0,1,0,0,4,15,1,0,1,4,0,39,19008,7
1,1,0,0,4,9,2,2,0,4,1,39,57200,4
0,1,0,0,4,9,2,0,3,4,0,39,18571,10
1,1,0,0,2,12,2,2,0,4,1,39,49800,10
0,2,0,0,5,1,0,2,0,4,1,39,54311,4
1,2,0,0,4,7,2,2,0,4,1,39,38013,3
0,1,0,0,4,6,0,2,0,4,1,39,11000,11
1,1,0,0,4,8,2,2,0,4,1,39,55148,3
1,2,0,0,2,12,2,2,0,4,1,39,30512,10
0,0,0,0,4,15,1,4,3,4,0,39,2764,4
0,1,0,0,4,11,0,2,0,4,1,39,28300,6
0,2,0,0,7,8,2,2,0,4,1,39,54116,10
0,0,0,0,4,11,0,2,0,4,1,39,18071,6
0,1,0,0,2,8,2,4,1,4,0,39,30400,11
1,1,0,0,5,11,0,2,0,4,1,2,57100,4
1,0,0,0,4,11,0,2,0,4,1,39,27125,8
0,1,0,0,4,15,1,4,3,4,1,39,11500,10
0,1,0,0,4,9,2,2,5,4,0,39,40800,13
0,1,0,0,4,15,1,2,0,4,1,39,28800,6
0,1,0,0,4,9,2,2,0,4,1,39,27337,1
1,2,0,0,4,11,0,2,0,4,1,39,30000,4
0,0,0,0,4,1,0,4,3,4,0,39,2600,12
0,2,0,0,7,12,2,0,1,4,0,39,29200,10
1,1,0,0,4,0,0,2,0,4,1,39,36152,7
1,2,0,0,4,6,0,2,0,4,1,39,24013,7
0,1,0,0,6,7,2,2,5,4,0,39,58196,1
0,0,0,0,6,1,0,4,3,4,0,39,693,1
0,2,0,0,4,11,0,2,0,4,1,39,11713,14
0,0,0,0,4,11,0,4,3,4,0,39,4000,14
1,1,0,0,5,15,1,2,0,4,1,39,56800,4
0,0,0,0,2,2,0,4,3,4,1,39,838,11
1,1,0,0,4,9,2,2,0,4,1,39,68800,12
0,2,0,0,2,8,2,2,0,4,1,39,59491,11
1,2,0,0,4,15,1,2,0,4,1,39,45429,4
0,0,0,0,4,12,2,4,4,0,0,39,9212,10
0,2,0,0,1,9,2,2,0,4,1,39,40338,4
1,2,0,0,4,8,2,0,1,4,1,39,35000,4
0,1,0,0,4,15,1,0,4,4,0,39,36964,13
0,2,0,0,2,11,0,0,1,4,1,39,16132,4
0,2,0,0,4,11,0,4,1,4,1,39,8794,6
0,1,0,0,4,9,2,2,0,4,1,39,39484,4
0,1,0,0,4,15,1,0,4,4,0,39,17100,3
0,1,0,0,4,8,2,0,1,4,1,39,8800,3
0,1,0,0,0,7,2,2,0,4,1,39,20600,0
1,2,0,0,6,11,0,2,0,4,1,39,55260,3
0,1,0,0,4,11,0,0,1,4,1,39,16000,3
1,0,0,0,4,14,2,4,1,4,0,39,12164,10
1,0,0,0,4,14,2,4,1,4,1,39,75000,10
0,0,0,0,4,15,1,4,1,4,0,39,8500,10
0,2,0,0,4,11,0,3,4,4,0,39,17297,8
1,2,0,0,4,11,0,2,0,4,1,39,54496,1
1,2,0,0,4,11,0,6,1,4,0,9,4800,9
1,1,0,0,6,11,0,2,0,4,1,39,45016,5
1,1,0,0,4,15,1,0,4,4,0,39,28860,4
0,0,0,0,4,15,1,4,3,4,0,39,1620,12
1,1,0,0,4,7,2,4,1,4,1,39,20492,6
1,1,0,0,6,9,2,2,0,4,1,39,37001,5
0,2,0,0,4,11,0,2,0,4,1,39,54157,3
0,0,0,0,4,11,0,4,3,4,1,39,19257,3
0,2,0,0,1,15,1,2,5,4,0,39,30033,1
0,0,0,0,4,11,0,4,3,4,1,39,21205,5
0,1,0,0,1,11,0,2,0,4,1,39,45623,1
0,1,0,0,4,8,2,2,0,4,1,39,38884,12
0,1,0,0,4,8,2,4,1,4,1,39,2563,9
0,1,0,0,4,9,2,4,1,4,0,39,19198,10
0,0,0,0,4,11,0,4,4,4,0,39,18547,8
0,0,0,0,4,0,0,4,1,4,1,39,17986,8
0,2,0,0,4,11,0,2,0,4,1,39,27000,8
0,1,0,0,5,9,2,4,1,4,0,39,43018,3
0,1,0,0,4,7,2,4,1,4,0,39,33006,10
1,2,0,0,6,11,0,2,0,4,1,39,21889,5
0,2,0,0,6,9,2,2,5,4,0,39,99999,4
1,0,0,0,2,9,2,4,3,4,0,39,32200,10
0,2,0,0,4,5,0,6,1,4,1,39,11162,14
0,1,0,0,6,15,1,0,1,4,1,39,17843,3
1,1,0,0,6,15,1,2,0,4,1,39,33904,3
1,2,0,0,4,11,0,0,1,4,1,39,20500,14
1,1,0,0,4,15,1,2,0,4,1,39,50024,13
1,1,0,0,4,11,0,2,0,4,1,39,33000,12
1,2,0,0,6,11,0,2,0,4,1,39,99999,12
0,2,0,0,4,11,0,4,4,4,0,39,9420,1
0,1,0,0,2,11,0,4,3,4,0,39,15610,1
1,1,0,0,6,11,0,2,0,4,1,39,23762,5
1,1,0,0,4,9,2,2,0,4,1,39,99999,12
0,2,0,0,4,11,0,2,0,4,1,39,21236,12
0,2,0,0,4,11,0,2,0,4,1,39,12921,8
0,0,0,0,0,15,1,4,3,4,1,39,3000,0
0,0,0,0,0,15,1,4,3,4,1,39,2000,0
0,0,0,0,4,11,0,2,0,4,1,39,23967,3
0,2,0,0,4,2,0,2,0,4,1,39,21750,14
0,0,0,0,4,11,0,4,4,4,0,39,3775,12
0,1,0,0,4,15,1,2,0,4,1,39,43162,14
1,1,0,0,4,11,0,2,0,4,1,39,37856,4
1,2,0,0,0,9,2,4,1,4,0,39,47053,0
1,2,0,0,2,15,1,4,1,4,0,39,31161,10
0,2,0,0,2,9,2,2,0,4,1,39,54492,4
1,2,0,0,7,11,0,0,4,4,0,39,27000,1
0,2,0,0,4,12,2,2,0,4,1,39,3554,10
0,2,0,0,7,7,2,0,1,4,1,39,19849,1
0,1,0,0,4,12,2,4,1,4,0,39,27099,8
1,2,0,0,7,12,2,2,0,4,1,39,66666,4
0,2,0,0,4,9,2,2,0,4,1,39,59539,1
0,2,0,0,5,10,2,2,0,1,1,19,99999,12
0,2,0,0,4,11,0,2,0,4,1,39,50198,1
1,1,0,0,4,11,0,2,0,4,1,39,26156,1
1,0,0,0,0,15,1,4,3,4,1,39,13326,0
1,2,0,0,4,9,2,2,0,4,1,39,55858,10
1,1,0,0,0,11,0,2,0,4,1,39,28545,0
1,1,0,0,4,9,2,0,1,4,0,39,21120,8
0,2,0,0,4,8,2,2,0,4,1,39,49681,3
0,0,0,0,4,15,1,4,3,4,0,39,3299,8
1,1,0,0,4,5,0,2,0,4,1,39,15000,3
0,2,0,0,0,15,1,0,4,4,0,39,3700,0
0,0,0,0,0,11,0,2,2,4,0,39,8800,0
0,1,0,0,4,4,0,2,0,1,1,0,20800,8
0,2,0,0,5,9,2,2,0,4,1,39,77598,12
0,2,0,0,4,12,2,3,1,4,0,39,31100,10
0,2,0,0,7,15,1,0,1,4,0,39,21628,1
1,2,0,0,5,12,2,2,0,4,1,39,99999,12
0,2,0,0,6,11,0,2,0,4,1,39,38477,5
